Age,AnnualIncome,SpendingScore,GenderEncoded,Cluster,MarketingStrategy
19,15,39,1,2,Budget Deals + Referral Rewards
21,15,81,1,2,Flash Sales + Influencer Campaigns
20,16,6,0,4,Budget Deals + Referral Rewards
23,16,77,0,4,Flash Sales + Influencer Campaigns
31,17,40,0,4,Budget Deals + Referral Rewards
22,17,76,0,4,Flash Sales + Influencer Campaigns
35,18,6,0,4,Budget Deals + Referral Rewards
23,18,94,0,4,Flash Sales + Influencer Campaigns
64,19,3,1,0,Budget Deals + Referral Rewards
30,19,72,0,4,Budget Deals + Referral Rewards
67,19,14,1,0,Budget Deals + Referral Rewards
35,19,99,0,4,Budget Deals + Referral Rewards
58,20,15,0,0,Budget Deals + Referral Rewards
24,20,77,0,4,Flash Sales + Influencer Campaigns
37,20,13,1,0,Budget Deals + Referral Rewards
22,20,79,1,2,Flash Sales + Influencer Campaigns
35,21,35,0,4,Budget Deals + Referral Rewards
20,21,66,1,2,Budget Deals + Referral Rewards
52,23,29,1,0,Budget Deals + Referral Rewards
35,23,98,0,4,Budget Deals + Referral Rewards
35,24,35,1,2,Budget Deals + Referral Rewards
25,24,73,1,2,Flash Sales + Influencer Campaigns
46,25,5,0,0,Budget Deals + Referral Rewards
31,25,73,1,2,Budget Deals + Referral Rewards
54,28,14,0,0,Budget Deals + Referral Rewards
29,28,82,1,2,Flash Sales + Influencer Campaigns
45,28,32,0,0,Budget Deals + Referral Rewards
35,28,61,1,2,Budget Deals + Referral Rewards
40,29,31,0,4,Budget Deals + Referral Rewards
23,29,87,0,4,Flash Sales + Influencer Campaigns
60,30,4,1,0,Budget Deals + Referral Rewards
21,30,73,0,4,Flash Sales + Influencer Campaigns
53,33,4,1,0,Budget Deals + Referral Rewards
18,33,92,1,2,Flash Sales + Influencer Campaigns
49,33,14,0,0,Budget Deals + Referral Rewards
21,33,81,0,4,Flash Sales + Influencer Campaigns
42,34,17,0,0,Budget Deals + Referral Rewards
30,34,73,0,4,Budget Deals + Referral Rewards
36,37,26,0,4,Budget Deals + Referral Rewards
20,37,75,0,4,Flash Sales + Influencer Campaigns
65,38,35,0,0,Budget Deals + Referral Rewards
24,38,92,1,2,Flash Sales + Influencer Campaigns
48,39,36,1,0,Budget Deals + Referral Rewards
31,39,61,0,4,Budget Deals + Referral Rewards
49,39,28,0,0,Budget Deals + Referral Rewards
24,39,65,0,4,Budget Deals + Referral Rewards
50,40,55,0,0,General Engagement Campaigns
27,40,47,0,4,General Engagement Campaigns
29,40,42,0,4,General Engagement Campaigns
31,40,42,0,4,General Engagement Campaigns
49,42,52,0,0,General Engagement Campaigns
33,42,60,1,2,General Engagement Campaigns
